Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chineseimp
STR_TERJESKILL_SURV_MAINTAININGFIRE,Fire Efficiency,Fire Efficiency,Udržování ohně,Aufrechterhaltung des Feuers,Поддержание огня,Utrzymanie ognia,A tűz fenntartása,Mantenere il fuoco,Mantenimiento del fuego,Efficacité du Feu,火源效率,火を維持する,Manutenção de fogo,火源效率
STR_TERJESKILL_SURV_MAINTAININGFIRE_DES,"Your fire handling skills allow you to maintain it for longer with less resources. Bonfires burn longer, using less fuel.","Your fire handling skills allow you to maintain it for longer with less resources. Bonfires burn longer, using less fuel.",Vaše dovednosti při manipulaci s ohněm vám umožňují udržovat jej déle s menšími náklady na zdroje. Oheň hoří déle a využívá méně paliva.,"Ihre Fähigkeiten im Umgang mit Feuer ermöglichen es Ihnen, es länger bei weniger Ressourcen zu halten. Die Lagerfeuer brennen länger und verwenden weniger Brennstoff.","Ваши навыки обращения с огнем позволяют поддерживать его дольше при меньших затратах ресурсов. Костры горят продолжительнее, используя меньше топлива.","Twoje umiejętności rozpalania ognia pozwalają dłużej podtrzymywać ogień przy mniejszym zużyciu zasobów. Ogniska palą się dłużej, zużywając mniej paliwa.","Tűzkezelési képességei lehetővé teszik, hogy hosszabb ideig fenntartsa kevesebb erőforrással. A máglyák hosszabb ideig égnek, kevesebb üzemanyagot használva.","Le tue capacità di gestione del fuoco ti consentono di mantenerlo più a lungo con meno risorse. I fuochi bruciano più a lungo, usando meno carburante.","Sus habilidades para manejar el fuego le permiten mantenerlo por más tiempo con menos recursos. Las hogueras se queman más tiempo, usando menos combustible.","Vos compétences en gestion du feu vous permettent de le maintenir plus longtemps avec moins de ressources. Les feux de camp brûlent plus longtemps, en consommant moins de combustible.",你的篝火處理技能使你能夠以更少的資源維持火焰更長時間。篝火燃燒時間更長，使用的燃料更少。,あなたの火の処理の技術はより少ない資源とのより長くのためのそれを維持することを可能にする。 焚き火は、より少ない燃料を使用して、より長く燃えます。,"Suas habilidades de lidar com o fogo permitem que você o mantenha por mais tempo com menos recursos. As fogueiras queimam por mais tempo, usando menos combustível.",你的篝火處理技能使你能夠以更少的資源維持火焰更長時間。篝火燃燒時間更長，使用的燃料更少。
STR_TERJESKILL_SURV_OWNERSHIPTOOLS,Tools Ownership,Tools Ownership,Vlastnictví nástrojů,Besitz von Werkzeugen,Владение инструментами,Opanowanie narzędzi,Eszközök tulajdonjoga,Proprietà degli strumenti,Posesión de herramientas,Maîtrise des Outils,工具掌控者,ツールの所有権,Posse de ferramentas,工具掌控者
STR_TERJESKILL_SURV_OWNERSHIPTOOLS_DES,"Your tool handling skills have improved significantly, allowing you to use them more effectively. You reduce the cost of resources for using a lighter and an ignition kit. ","Your tool handling skills have improved significantly, allowing you to use them more effectively. You reduce the cost of resources for using a lighter and an ignition kit. ","Vaše dovednosti v zacházení s nástroji se výrazně zlepšily, což vám umožňuje efektivněji je používat. Snižujete náklady na zdroje na použití zapalovače a zapalovací sady. ","Ihre Fähigkeiten im Umgang mit Werkzeugen haben sich erheblich verbessert, sodass Sie sie effizienter nutzen können. Sie reduzieren die Ressourcenkosten für die Verwendung eines Feuerzeugs und eines Zündsatzes. ","Ваши навыки обращения с инструментами значительно улучшились, что позволяет вам более эффективно использовать их. Вы снижаете затраты ресурсов на использование зажигалки и набора для розжига. ","Twoje umiejętności posługiwania się narzędziami znacznie się poprawiły, co pozwala na bardziej efektywne ich wykorzystanie. Zmniejszasz koszty zasobów związane z używaniem zapalniczki i zestawu zapłonowego. ","Szerszámkezelési képességei jelentősen javultak, lehetővé téve azok hatékonyabb használatát. Csökkenti az öngyújtó és a gyújtáskészlet használatának költségeit. ","Le tue abilità con gli strumenti sono notevolmente migliorate, consentendoti di utilizzarle in modo più efficace. Riduci i costi delle risorse per l'utilizzo di un accendino e di un kit di accensione. ","Sus habilidades de manejo de herramientas han mejorado enormemente, lo que le permite usarlas de manera más efectiva. Reduce el gasto de recursos en el uso de un encendedor y un kit de encendido. ","Vos compétences en maniement des outils se sont grandement améliorées, vous permettant de les utiliser plus efficacement. Vous réduisez le coût en ressources pour utiliser un briquet et un kit d'allumage.",您的工具操作技能顯著提高，使您能夠更有效地使用它們。您減少了使用輕便工具和點火套件的資源成本。,あなたの用具の処理の技術はかなり改善し、それらをより効果的に使用することを可能にする。 ライターとイグニッションキットを使用するためのリソースのコストを削減します。 ,"Suas habilidades com ferramentas melhoraram significativamente, permitindo que você as use com mais eficiência. Você reduz os custos de recursos do isqueiro e do kit de ignição. ",您的工具操作技能顯著提高，使您能夠更有效地使用它們。您減少了使用輕便工具和點火套件的資源成本。
STR_TERJESKILL_SURV_STASHES,Invisible Stashes,Invisible Stashes,Neviditelné skrýše,Unsichtbare Verstecke,Невидимые схроны,Niewidzialne schowki,Láthatatlan rejtvények,Nascondigli invisibili,Alijos invisibles,Caches Invisibles,隱形藏匿處,目に見えない隠し場所,Esconderijos invisíveis,隱形藏匿處
STR_TERJESKILL_SURV_STASHES_DES,Your survival skills allow you to mask caches and caches making them completely invisible.,Your survival skills allow you to mask caches and caches making them completely invisible.,"Vaše dovednosti přežití vám umožňují maskovat skrýše a schrony, takže jsou naprosto neviditelné.","Ihre Überlebensfähigkeiten ermöglichen es Ihnen, Verstecke und Schränke zu maskieren, sodass sie absolut unsichtbar sind.",Ваши навыки выживания позволяют вам маскировать тайники и схроны делая их абсолютно невидимыми.,"Twoje umiejętności przetrwania pozwalają ci kamuflować kryjówki i skrytki, czyniąc je całkowicie niewidocznymi.",A túlélési képességeid lehetővé teszik a gyorsítótárak elfedését és a gyorsítótárak teljesen láthatatlanná tételét.,Le tue abilità di sopravvivenza ti permettono di mascherare nascondigli e nascondigli rendendoli assolutamente invisibili.,Tus habilidades de supervivencia te permiten enmascarar escondites y escondites haciéndolos completamente invisibles.,"Vos compétences de survie vous permettent de dissimuler les caches, les rendant complètement invisibles.",你的生存技能使你能夠隱藏儲藏物，讓它們完全不可見。,あなたのサバイバルスキルを使用すると、キャッシュとキャッシュをマスクして完全に見えなくすることができます。,"Suas habilidades de sobrevivência permitem que você mascare esconderijos e esconderijos, tornando-os completamente invisíveis.",你的生存技能使你能夠隱藏儲藏物，讓它們完全不可見。
STR_TERJESKILL_SURV_DURABLEMAT,Durable Material,Durable Material,Odolný materiál,Haltbares Material,Прочный материал,Wytrzymały materiał,Tartós anyag,Materiale durevole,Material duradero,Matière Durable,耐用材料,耐久性のある素材,Material durável,耐用材料
STR_TERJESKILL_SURV_DURABLEMAT_DES,"Your skills with tools and weapons allow you to reduce the wear of gloves, which reduces the chance of damage during active use. Your gloves last longer, better protecting your hands from injury and adverse factors.","Your skills with tools and weapons allow you to reduce the wear of gloves, which reduces the chance of damage during active use. Your gloves last longer, better protecting your hands from injury and adverse factors.","Vaše dovednosti manipulace s nástroji a zbraněmi vám umožní snížit opotřebení rukavic, což snižuje šanci na jejich poškození při aktivním používání. Vaše rukavice vydrží déle a lépe chrání ruce před zraněním a nepříznivými faktory.","Ihre Fähigkeiten im Umgang mit Werkzeugen und Waffen reduzieren den Verschleiß der Handschuhe und verringern die Wahrscheinlichkeit, dass sie bei aktiver Verwendung beschädigt werden. Ihre Handschuhe halten länger und schützen Ihre Hände besser vor Verletzungen und nachteiligen Faktoren.","Ваши навыки обращения с инструментами и оружием позволяют снизить износ перчаток, что уменьшает шанс их повреждения при активном использовании. Ваши перчатки служат дольше, лучше защищая руки от травм и неблагоприятных факторов.","Twoje umiejętności posługiwania się narzędziami i bronią zmniejszają zużycie rękawic, co zmniejsza ryzyko ich uszkodzenia podczas aktywnego użytkowania. Twoje rękawice działają dłużej, lepiej chroniąc dłonie przed obrażeniami i niekorzystnymi warunkami.","A szerszámokkal és fegyverekkel kapcsolatos készségei lehetővé teszik a kesztyűk kopásának csökkentését, ami csökkenti az aktív használat során bekövetkező károsodás esélyét. A kesztyű hosszabb ideig tart, jobban védi a kezét a sérülésektől és a káros tényezőktől.","Le tue abilità con strumenti e armi ti consentono di ridurre l'usura dei guanti, il che riduce la possibilità che vengano danneggiati durante l'uso attivo. I guanti durano più a lungo, proteggendo meglio le mani da lesioni e fattori avversi.","Sus habilidades en el manejo de herramientas y armas le permiten reducir el desgaste de los guantes, lo que reduce la posibilidad de que se dañen cuando se usan activamente. Sus guantes duran más tiempo, protegiendo mejor sus manos de lesiones y factores adversos.","Vos compétences avec les outils et les armes vous permettent de réduire l'usure des gants, ce qui diminue le risque de dommages lors d'une utilisation active. Vos gants durent plus longtemps, protégeant mieux vos mains des blessures et des facteurs néfastes.",你對工具和武器的熟練使用使你能夠減少手套的磨損，從而降低在使用過程中受損的機會。你的手套使用壽命更長，更好地保護你的手免受傷害和不利因素的影響。,ツールや武器を使用したスキルを使用すると、手袋の摩耗を減らすことができ、アクティブな使用中の損傷の可能性が低くなります。 あなたの手袋は長持ちし、怪我や不利な要因から手をよりよく保護します。,"Suas habilidades com ferramentas e armas reduzem o desgaste das luvas, o que reduz as chances de danificá-las quando usadas ativamente. Suas luvas duram mais, protegendo melhor suas mãos de lesões e fatores adversos.",你對工具和武器的熟練使用使你能夠減少手套的磨損，從而降低在使用過程中受損的機會。你的手套使用壽命更長，更好地保護你的手免受傷害和不利因素的影響。
STR_TERJESKILL_SURV_EXPERT,The Expert,The Expert,Znalec,Kenner,Знаток,Znawca,A szakértő,Intenditore,Conocedor,L'Expert,專家,専門家,Conhecedor,专家
STR_TERJESKILL_SURV_EXPERT_DES,"Your extensive knowledge of food allows you to see detailed information about calories, nutrients and other characteristics of foods. Thanks to this, you will be able to better manage your diet by choosing the most useful and energetically saturated foods for optimal maintenance of strength.","Your extensive knowledge of food allows you to see detailed information about calories, nutrients and other characteristics of foods. Thanks to this, you will be able to better manage your diet by choosing the most useful and energetically saturated foods for optimal maintenance of strength.","Vaše rozsáhlé znalosti o potravinách vám umožní vidět podrobné informace o kaloriích, živin a dalších charakteristikách potravin. Díky tomu budete moci lépe ovládat svou stravu výběrem nejužitečnějších a energeticky nasycených potravin pro optimální udržení sil.","Ihr umfangreiches Wissen über Lebensmittel ermöglicht es Ihnen, detaillierte Informationen über Kalorien, Nährstoffe und andere Eigenschaften von Lebensmitteln zu sehen. Dadurch können Sie Ihre Ernährung besser verwalten, indem Sie die nützlichsten und energetisch gesättigten Lebensmittel auswählen, um die Kraft optimal zu erhalten.","Ваши обширные знания о пище позволяют вам видеть подробную информацию о калорийности, питательных веществах и других характеристиках продуктов. Благодаря этому, вы сможете лучше управлять своим рационом, выбирая наиболее полезные и энергетически насыщенные продукты для оптимального поддержания сил.","Twoja rozległa wiedza na temat żywności pozwala zobaczyć szczegółowe informacje na temat kalorii, składników odżywczych i innych cech żywności. Dzięki temu możesz lepiej zarządzać swoją dietą, wybierając najbardziej zdrowe i energetycznie nasycone produkty dla optymalnego utrzymania siły.","Az élelmiszerek széles körű ismerete lehetővé teszi, hogy részletes információkat láthasson az élelmiszerek kalóriáiról, tápanyagairól és egyéb jellemzőiről. Ennek köszönhetően jobban kezelheti étrendjét azáltal, hogy kiválasztja a leghasznosabb és energetikailag telített ételeket az erő optimális fenntartása érdekében.","La tua vasta conoscenza del cibo ti consente di vedere informazioni dettagliate su calorie, nutrienti e altre caratteristiche degli alimenti. Grazie a questo, sarai in grado di gestire meglio la tua dieta scegliendo gli alimenti più sani ed energicamente saturi per un mantenimento ottimale della forza.","Su amplio conocimiento de los alimentos le permite ver información detallada sobre calorías, nutrientes y otras características de los alimentos. Gracias a esto, podrá administrar mejor su dieta, eligiendo los alimentos más útiles y energéticamente ricos para un mantenimiento óptimo de la fuerza.","Votre vaste connaissance des aliments vous permet de voir des informations détaillées sur les calories, les nutriments et autres caractéristiques des aliments. Grâce à cela, vous pourrez mieux gérer votre alimentation en choisissant les aliments les plus utiles et énergétiquement riches pour un maintien optimal de la force.",您對食物的廣泛了解可以讓您看到有關卡路裏，營養素和食物其他特征的詳細信息。 多虧了這一點，你將能夠更好地管理你的飲食，選擇最健康和充滿活力的食物，以最佳的力量維持。,食品のあなたの広範な知識は、あなたがカロリー、栄養素や食品の他の特性に関する詳細な情報を見ることができます。 これにより、強度を最適に維持するために最も有用で精力的に飽和した食品を選択することで、食事をより適切に管理することができます。,"Seu amplo conhecimento de alimentos permite que você Veja informações detalhadas sobre calorias, nutrientes e outras características dos alimentos. Graças a isso, você será capaz de gerenciar melhor sua dieta, escolhendo os alimentos mais saudáveis e ricos em energia para manter a força de forma ideal.",您对食物的广泛了解可以让您看到有关卡路里，营养素和食物其他特征的详细信息。 多亏了这一点，你将能够更好地管理你的饮食，选择最健康和充满活力的食物，以最佳的力量维持。
STR_TERJESKILL_SURV_DURABLEEQUIPMENT,Durable Equipment,Durable Equipment,Robustní výbava,Robuste Ausrüstung,Прочная экипировка,Solidny sprzęt,Tartós berendezések,Attrezzatura durevole,Equipo duradero,Équipement Durable,耐用裝備,耐久性のある機器,Equipamento robusto,耐用设备
STR_TERJESKILL_SURV_DURABLEEQUIPMENT_DES,"Your skills and experience allow you to reduce the damage to clothing when taking damage. Thanks to this, your equipment remains in better condition, protecting you from the environment and hostile influences for longer.","Your skills and experience allow you to reduce the damage to clothing when taking damage. Thanks to this, your equipment remains in better condition, protecting you from the environment and hostile influences for longer.",Vaše dovednosti a zkušenosti vám umožní snížit poškození oblečení při poškození. Díky tomu zůstává vaše výbava v lepším stavu a déle vás chrání před okolím a nepřátelskými vlivy.,"Mit Ihren Fähigkeiten und Erfahrungen können Sie Kleidungsschäden reduzieren, wenn Sie Schaden erleiden. Dadurch bleibt Ihre Ausrüstung in einem besseren Zustand und schützt Sie länger vor Umwelteinflüssen und feindlichen Einflüssen.","Ваши навыки и опыт позволяют уменьшить повреждение одежды при получении урона. Благодаря этому, ваша экипировка остается в лучшем состоянии, дольше защищая вас от окружающей среды и враждебных воздействий.","Twoje umiejętności i doświadczenie pozwalają zmniejszyć uszkodzenia odzieży podczas otrzymywania obrażeń. Dzięki temu Twój sprzęt pozostaje w najlepszym stanie, chroniąc cię dłużej przed środowiskiem i wrogimi wpływami.","Készségei és tapasztalata lehetővé teszi, hogy csökkentse a ruházat károsodását, amikor sérülést okoz. Ennek köszönhetően a berendezés jobb állapotban marad, és hosszabb ideig védi Önt a környezettől és az ellenséges hatásoktól.","Le tue abilità ed esperienza ti consentono di ridurre i danni ai vestiti quando subisci danni. Per questo motivo, la tua attrezzatura rimane in condizioni migliori, proteggendoti più a lungo dall'ambiente e dalle influenze ostili.","Sus habilidades y experiencia le permiten reducir el daño a la ropa cuando recibe daño. Gracias a esto, su equipo permanece en las mejores condiciones, protegiéndolo por más tiempo del medio ambiente y las influencias hostiles.","Vos compétences et votre expérience vous permettent de réduire les dégâts subis par les vêtements lorsque vous prenez des dommages. Ainsi, votre équipement reste en meilleur état, vous protégeant plus longtemps de l'environnement et des influences hostiles.",您的技能和經驗使您在受到傷害時能減少對衣物的損害。多虧了這一點，您的裝備保持在更好的狀態，能更長時間地保護您免受環境和敵對影響的侵害。,あなたのスキルと経験は、損傷を受けるときに衣服への損傷を減らすことを可能にします。 これのおかげで、あなたの装置はよりよい状態に残り、より長くのための環境そして敵の影響から保護する。,"Suas habilidades e experiência podem ajudar a reduzir os danos às roupas ao receber danos. Graças a isso, seu equipamento permanece nas melhores condições, protegendo-o por mais tempo do meio ambiente e das influências hostis.",您的技能和經驗使您在受到傷害時能減少對衣物的損害。多虧了這一點，您的裝備保持在更好的狀態，能更長時間地保護您免受環境和敵對影響的侵害。
STR_TERJESKILL_SURVIVAL_MOD0,Reduces the impact of environmental temperature by,Reduces the impact of environmental temperature by,Snižuje náchylnost k okolní teplotě na,Reduziert die Anfälligkeit für Umgebungstemperatur bei,Снижает восприимчивость к температуре окружающей среды на,Zmniejsza wrażliwość na temperaturę otoczenia o,Csökkenti a környezeti hőmérsékletre való érzékenységet,Riduce la suscettibilità alla temperatura ambiente di,Reduce la susceptibilidad a la temperatura ambiente en,Réduit l'impact de la température ambiante de,通過以下方式降低對環境溫度的敏感性,周囲温度への感受性を減らします,Reduz a suscetibilidade à temperatura ambiente em,通過以下方式降低對環境溫度的敏感性
STR_TERJESKILL_SURVIVAL_MOD1,Reduces health damage received from zombies by,Reduces health damage received from zombies by,Snižuje poškození zdraví způsobené zombie na,Reduziert den von Zombies erlittenen Gesundheitsschaden,Уменьшает урон здоровью получаемый от зомби на,Zmniejsza obrażenia otrzymywane od zombie o,Csökkenti az egészségkárosodást kapott zombik által,Riduce i danni alla salute subiti dagli zombi su,Reduce el daño a la salud de los zombis en,Réduit les dégâts de santé reçus des zombies de,減少僵屍對健康的傷害,ゾンビから受けた健康被害を軽減します,Reduz o dano de vida recebido de zumbis em,減少僵屍對健康的傷害
STR_TERJEPERK_STLTH_WOLFINSTINCT,Wolves Friend,Wolves Friend,Vlčí instinkt,Wolfsinstinkt,Волчий инстинкт,Wilczy instynkt,A farkas ösztön,Istinto di lupo,Instinto lobo,Ami des Loups,狼之友,オオカミの本能,Instinto lobo,狼之友
STR_TERJEPERK_STLTH_WOLFINSTINCT_DES,Your understanding of predator behavior allows you to stay out of their field of view and not attract them with your scent. The probability of being attacked by wolves is reduced.,Your understanding of predator behavior allows you to stay out of their field of view and not attract them with your scent. The probability of being attacked by wolves is reduced.,Vaše chápání chování predátorů vám umožňuje zůstat mimo jejich zorné pole a nepřitahovat je svým zápachem. Pravděpodobnost napadení vlky klesá.,"Ihr Verständnis des Verhaltens von Raubtieren ermöglicht es Ihnen, außerhalb ihres Sichtfeldes zu bleiben und sie nicht durch ihren Geruch anzulocken. Die Wahrscheinlichkeit, von Wölfen angegriffen zu werden, nimmt ab.",Ваше понимание поведения хищников позволяет оставаться вне их поля зрения и не привлекать их своим запахом. Вероятность быть атакованным волками снижается.,"Zrozumienie zachowania drapieżników pozwala ci pozostać poza ich zasięgiem wzroku i nie przyciągać ich swoim zapachem. Jest mniej prawdopodobne, że zostaniesz zaatakowany przez wilki.","A ragadozó viselkedésének megértése lehetővé teszi, hogy távol maradjon a látómezőjüktől, és ne vonzza őket az illatával. Csökken a farkasok támadásának valószínűsége.",La tua comprensione del comportamento dei predatori ti consente di rimanere fuori dalla loro vista e di non attirarli con il tuo profumo. La probabilità di essere attaccati dai lupi diminuisce.,Su comprensión del comportamiento de los depredadores le permite permanecer fuera de su vista y no atraerlos con su olor. La probabilidad de ser atacado por lobos disminuye.,Votre compréhension du comportement des prédateurs vous permet de rester hors de leur champ de vision et de ne pas les attirer avec votre odeur. La probabilité d'être attaqué par des loups est réduite.,你對掠食者行為的理解使你能夠避開它們的視野，並且不會因為氣味而吸引它們。被狼攻擊的概率降低了。,捕食者の行動のあなたの理解は視野からとどまり、あなたのにおいとのそれらを引き付けないことを可能にする。 オオカミに襲われる可能性が低くなります。,Sua compreensão do comportamento dos predadores permite que você permaneça fora de seu campo de visão e não os atraia com seu cheiro. A probabilidade de ser atacado por lobos diminui.,你對掠食者行為的理解使你能夠避開它們的視野，並且不會因為氣味而吸引它們。被狼攻擊的概率降低了。
STR_TERJEPERK_STLTH_FRIENDBEAR,Bears Friend,Bears Friend,Přítel medvědů,Freund der Bären,Друг косолапых,Przyjaciel niedźwiedzi,A medvék barátja,Amico degli orsi,Amigo de los osos,Ami des Ours,熊之友,クマの友,Amigo dos ursos,熊之友
STR_TERJEPERK_STLTH_FRIENDBEAR_DES,"Thanks to your experience and understanding of the habits of wild animals, bears notice you less often and do not show aggression, giving you a better chance to avoid a dangerous encounter.","Thanks to your experience and understanding of the habits of wild animals, bears notice you less often and do not show aggression, giving you a better chance to avoid a dangerous encounter.","Díky vašim zkušenostem a pochopení chování divokých zvířat si vás medvědi méně často všimnou a neprojeví agresi, což vám dává větší šanci vyhnout se nebezpečnému setkání.","Aufgrund Ihrer Erfahrung und Ihres Verständnisses der Gewohnheiten wilder Tiere bemerken Sie Bären seltener und zeigen keine Aggression, so dass Sie eine größere Chance haben, eine gefährliche Begegnung zu vermeiden.","Благодаря вашему опыту и пониманию повадок диких животных, медведи реже замечают вас и не проявляют агрессию, давая вам больше шансов избежать опасной встречи.","Dzięki doświadczeniu i zrozumieniu zwyczajów dzikich zwierząt, niedźwiedzie są mniej skłonne do zauważenia cię i nie są agresywne, co daje większą szansę na uniknięcie niebezpiecznego spotkania.","A vadon élő állatok szokásainak tapasztalatainak és megértésének köszönhetően a medvék ritkábban vesznek észre, és nem mutatnak agressziót, így nagyobb esélyt kapnak a veszélyes találkozás elkerülésére.","Grazie alla tua esperienza e comprensione delle abitudini degli animali selvatici, gli orsi hanno meno probabilità di notarti e non mostrare aggressività, dandoti maggiori possibilità di evitare un incontro pericoloso.","Gracias a su experiencia y comprensión de los hábitos de los animales salvajes, los osos son menos propensos a notarlo y no muestran agresión, lo que le da una mejor oportunidad de evitar un encuentro peligroso.","Grâce à votre expérience et à votre compréhension des habitudes des animaux sauvages, les ours vous remarquent moins souvent et ne montrent pas d'agressivité, vous donnant une meilleure chance d'éviter une rencontre dangereuse.",多虧了你對野生動物習性的經驗和理解，熊類對你的注意力減少，並且不會表現出攻擊性，這讓你有更好的機會避免危險的遭遇。,あなたの経験と野生動物の習慣の理解のおかげで、クマはあなたに気づく頻度が少なく、攻撃性を示さず、危険な出会いを避けるより良い機会を与,"Graças à sua experiência e compreensão dos hábitos dos animais selvagens, os ursos são menos propensos a notá-lo e não mostram agressão, dando-lhe mais chances de evitar um encontro perigoso.",多虧了你對野生動物習性的經驗和理解，熊類對你的注意力減少，並且不會表現出攻擊性，這讓你有更好的機會避免危險的遭遇。
STR_TERJEPERK_METABLSM_WMLOVER,Predatory Digestion,Predatory Digestion,Dravé trávení,Räuberische Verdauung,Хищное пищеварение,Trawienie drapieżników,Ragadozó emésztés,Digestione predatoria,Digestión depredadora,Digestion des Prédateurs,掠奪性消化,捕食性消化,Digestão predatória,掠夺性消化
STR_TERJEPERK_METABLSM_WMLOVER_DES,Your stomach produces special enzymes and bacteria that help digest the meat of predators without consequences for the body.,Your stomach produces special enzymes and bacteria that help digest the meat of predators without consequences for the body.,"Váš žaludek produkuje speciální enzymy a bakterie, které podporují trávení masa predátorů bez následků pro tělo.","Ihr Magen produziert spezielle Enzyme und Bakterien, die die Verdauung von Fleisch von Raubtieren fördern, ohne Auswirkungen auf den Körper zu haben.","Ваш желудок вырабатывает специальные энзимы и бактерии, которые способствуют перевариванию мяса хищников без последствий для организма.","Twój żołądek wytwarza specjalne enzymy i bakterie, które pomagają trawić mięso mięsożerców bez negatywnego wpływu na organizm.","A gyomrod speciális enzimeket és baktériumokat termel, amelyek segítenek megemészteni a ragadozók húsát anélkül, hogy következményei lennének a testre.",Lo stomaco produce enzimi e batteri speciali che aiutano a digerire la carne dei predatori senza conseguenze per il corpo.,Su estómago produce enzimas y bacterias especiales que ayudan a digerir la carne de los depredadores sin consecuencias para el cuerpo.,Votre estomac produit des enzymes et des bactéries spéciales qui aident à digérer la viande des prédateurs sans conséquences pour le corps.,你的胃會產生特殊的酶和細菌，幫助消化捕食者的肉，而不會對身體造成影響。,あなたの胃は、体に影響を与えることなく捕食者の肉を消化するのに役立つ特別な酵素と細菌を生成します。,Seu estômago produz enzimas e bactérias especiais que ajudam a digerir a carne dos predadores sem consequências para o corpo.,你的胃會產生特殊的酶和細菌，幫助消化捕食者的肉，而不會對身體造成影響。
STR_TERJESKILL_SURV_SURVIVALINSTINCT,Survival Instinct,Survival Instinct,Instinkt přežití,Überlebensinstinkt,Инстинкт выживания,Instynkt przetrwania,A túlélési ösztön,Istinto di sopravvivenza,Instinto de supervivencia,Instinct de Survie,生存本能,生存本能,Instinto de sobrevivência,生存本能
STR_TERJESKILL_SURV_SURVIVALINSTINCT_DES,"Zombies stop killing you when you are unconscious. Your body instinctively freezes, causing zombies to lose interest in you, giving you a chance to survive even in the most dangerous situations.","Zombies stop killing you when you are unconscious. Your body instinctively freezes, causing zombies to lose interest in you, giving you a chance to survive even in the most dangerous situations.","Zombie vás přestanou dobývat, když jste v bezvědomí. Vaše tělo instinktivně zamrzne, takže zombie o vás ztratí zájem, což dává šanci na přežití i v těch nejnebezpečnějších situacích.","Zombies hören auf, dich anzugreifen, wenn du bewusstlos bist. Dein Körper friert instinktiv ein, wodurch Zombies Ihr Interesse an dir verlieren und selbst in den gefährlichsten Situationen eine Überlebenschance besteht.","Зомби перестают добивать вас, когда вы находитесь в бессознательном состоянии. Ваше тело инстинктивно замирает, заставляя зомби терять к вам интерес, давая шанс на выживание даже в самых опасных ситуациях.","Zombie przestają cię zabijać, gdy jesteś nieprzytomny. Twoje ciało instynktownie zastyga, sprawiając, że zombie tracą zainteresowanie tobą, dając ci szansę na przetrwanie nawet najbardziej niebezpiecznych sytuacji.","A zombik nem ölnek meg, ha eszméletlen vagy. A tested ösztönösen lefagy, aminek következtében a zombik elveszítik érdeklődésüket irántad, esélyt adva a túlélésre még a legveszélyesebb helyzetekben is.","Gli zombi smettono di finirti quando sei incosciente. Il tuo corpo si blocca istintivamente, facendo perdere interesse agli zombi per te, dando la possibilità di sopravvivere anche nelle situazioni più pericolose.","Los zombis dejan de matarte cuando estás inconsciente. Tu cuerpo instintivamente se congela, haciendo que los zombies pierdan interés en TI, dando la oportunidad de sobrevivir incluso en las situaciones más peligrosas.","Les zombies cessent de vous tuer lorsque vous êtes inconscient. Votre corps se fige instinctivement, faisant perdre aux zombies tout intérêt pour vous, vous donnant une chance de survivre même dans les situations les plus dangereuses.","當你失去意識時,殭屍會停止攻擊你。你的身體本能地會僵住,這使得殭屍對你失去興趣,即使在最危險的情況下也有生存的機會。",ゾンビはあなたが意識を失ったときにあなたを殺すのをやめます。 あなたの体は本能的に凍結し、ゾンビがあなたに興味を失う原因となり、最も危険な状況でも生き残るチャンスを与えます。,"Os zumbis param de acabar com você quando você está inconsciente. Seu corpo congela instintivamente, fazendo com que os zumbis percam o interesse em você, dando uma chance de sobrevivência mesmo nas situações mais perigosas.","當你失去意識時,殭屍會停止攻擊你。你的身體本能地會僵住,這使得殭屍對你失去興趣,即使在最危險的情況下也有生存的機會。"
STR_TERJESKILL_SURV_MUSHROOMPREMONITION,Mushroom Premonition,Mushroom Premonition,Houbová předtucha,Pilz-Vorahnung,Чуйка грибника,Instynkt łowcy grzybów,Gomba előérzet,Premonizione dei funghi,Premonición de hongos,Premonition des Champignons,蘑菇預兆,きのこの予感,Premonição do cogumelo,蘑菇預兆
