"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEPERK_MED_INJECTORRECOGNITION_DES","Your extensive experience in pharmacology helps you to recognize drugs in injectors. Now the description of the injectors will indicate their positive and negative effects. ","Your extensive experience in pharmacology helps you to recognize drugs in injectors. Now the description of the injectors will indicate their positive and negative effects. ","Vaše bohaté zkušenosti s farmakologií vám pomohou rozpoznat léky v inektorech. Nyní budou v popisu iniektorů uvedeny jejich pozitivní a negativní účinky. ","Ihre reiche Erfahrung in der Pharmakologie hilft Ihnen, Arzneimittel in Injektoren zu erkennen. Die Beschreibung der Injektoren zeigt nun ihre positiven und negativen Auswirkungen an. ","Ваш богатый опыт в фармакологии помагает вам распознавать лекарственные препараты в иньекторах. Теперь в описании иньекторов будут указаны их положительные и отрицательные эффекты. ","Bogate doświadczenie w dziedzinie farmakologii pomaga w rozpoznawaniu produktów leczniczych we injectorach. Opis injectorów będzie teraz zawierał ich pozytywne i negatywne skutki. ","A farmakológiában szerzett széles körű tapasztalata segít felismerni a gyógyszereket az injektorokban. Most az injektorok leírása jelzi azok pozitív és negatív hatásait. ","La tua ricca esperienza in farmacologia ti aiuta a riconoscere i farmaci negli iniettori. Ora la descrizione degli iniettori indicherà i loro effetti positivi e negativi. ","Su amplia experiencia en farmacología le ayuda a reconocer los medicamentos en los inyectores. Ahora, la descripción de los inyectores indicará sus efectos positivos y negativos. ","Votre vaste expérience en pharmacologie vous aide à reconnaître les médicaments dans les injecteurs. Désormais, la description des injecteurs indiquera leurs effets positifs et négatifs.","您在藥理學方面的豐富經驗可以幫助您識別注射器中的藥物。現在，注射器的描述將顯示其正面和負面影響。","薬理学のあなたの広範な経験は注入器の薬剤を確認するのを助けます。 ここで、インジェクタの説明は、それらの正と負の効果を示します。 ","Sua vasta experiência em farmacologia pode ajudá-lo a reconhecer medicamentos em injetores. Agora, a descrição dos injetores indicará seus efeitos positivos e negativos. ","您在药理学方面的丰富经验可以帮助您识别注射器中的药物。 现在对喷射器的描述将表明它们的正面和负面影响。 ",
"STR_TERJEPERK_MED_PHARMACOLOGIST","Improved Drugs","Improved Drugs","Vylepšené léky","Verbesserte Medikamente","Улучшенные препараты","Ulepszone leki","Javított gyógyszerek","Farmaci migliorati","Medicamentos mejorados","Médicaments Améliorés","改良藥物","改善された薬","Medicamentos melhorados","改良药物",
"STR_TERJEPERK_MED_PHARMACOLOGIST_DES","All medications last longer, giving you more time to recover and heal.","All medications last longer, giving you more time to recover and heal.","Všechny léky fungují déle, což vám dává více času na zotavení a léčbu.","Alle Medikamente wirken länger und geben Ihnen mehr Zeit, sich zu erholen und zu heilen.","Все медикаменты действуют дольше, давая вам больше времени для восстановления и лечения.","Wszystkie leki działają dłużej, dając więcej czasu na powrót do zdrowia i wyleczenie.","Minden gyógyszer hosszabb ideig tart, így több ideje van a gyógyulásra és a gyógyulásra.","Tutti i farmaci durano più a lungo, dandoti più tempo per recuperare e guarire.","Todos los medicamentos duran más tiempo, lo que le da más tiempo para recuperarse y curarse.","Tous les médicaments durent plus longtemps, vous donnant plus de temps pour récupérer et guérir.","所有藥物的效果都會持續更長的時間，讓您有更多的時間恢復和痊癒。","すべての薬は長持ちし、回復して治癒する時間が長くなります。","Todos os medicamentos duram mais, dando-lhe mais tempo para se recuperar e tratar.","所有药物的使用寿命更长，给你更多的时间来恢复和愈合。",
"STR_TERJEPERK_MED_EXPERTANTIBIOTICS","Antibiotics Expert","Antibiotics Expert","Odborník na antibiotika","Antibiotikaexperte","Эксперт по антибиотикам","Ekspert ds. antybiotyków","Az antibiotikumok szakértője","Esperto di antibiotici","Experto en antibióticos","Expert en Antibiotiques","抗生素專家","抗生物質の専門家","Especialista em antibióticos","抗生素专家",
"STR_TERJEPERK_MED_EXPERTANTIBIOTICS_DES","Increases the effectiveness of antibiotics by increasing their level by 1 and improving the body's protection against diseases.","Increases the effectiveness of antibiotics by increasing their level by 1 and improving the body's protection against diseases.","Zvyšuje účinnost antibiotik, zvyšuje jejich hladinu o 1 a zlepšuje ochranu těla před nemocemi.","Erhöht die Wirksamkeit von Antibiotika, erhöht ihr Niveau um 1 und verbessert den Schutz des Körpers vor Krankheiten.","Увеличивает эффективность антибиотиков, повышая их уровень на 1 и улучшая защиту организма от болезней.","Zwiększa skuteczność antybiotyków, podnosząc ich poziom o 1 i poprawiając obronę organizmu przed chorobami.","Növeli az antibiotikumok hatékonyságát azáltal, hogy 1-gyel növeli azok szintjét és javítja a szervezet betegségek elleni védelmét.","Aumenta l'efficacia degli antibiotici aumentando il loro livello di 1 e migliorando le difese del corpo contro le malattie.","Aumenta la efectividad de los antibióticos, aumentando su nivel en 1 y mejorando la defensa del cuerpo contra las enfermedades.","Augmente l'efficacité des antibiotiques en augmentant leur niveau de 1 et en améliorant la protection du corps contre les maladies.","將抗生素的等級提高 1，從而提高抗生素的有效性，並增強身體對疾病的抵抗力。","抗生物質のレベルを1増加させ、病気に対する身体の保護を改善することによって、抗生物質の有効性を高めます。","Aumenta a eficácia dos antibióticos, aumentando seus níveis em 1 e melhorando a proteção do corpo contra doenças.","通过将抗生素的水平提高1并改善身体对疾病的保护来增加抗生素的有效性。",
"STR_TERJEPERK_MED_MASTERDRESSING","Master of Dressing","Master of Dressing","Mistr obvazu","Meister des Verbandes","Мастер перевязки","Mistrz opatrunku","Az öltözködés mestere","Maestro di medicazione","Asistente de vendaje","Maître du Pansement","包紮大師","ドレッシングの達人","Mestre do curativo","包紮大師",
"STR_TERJEPERK_MED_MASTERDRESSING_DES","Your dexterous hands are able to stop bleeding quickly and effectively. Wound dressing takes less time, which increases your chances of survival in critical situations.","Your dexterous hands are able to stop bleeding quickly and effectively. Wound dressing takes less time, which increases your chances of survival in critical situations.","Vaše šikovné ruce dokážou rychle a efektivně zastavit krvácení. Obvazování ran trvá méně času, což zvyšuje vaše šance na přežití v kritických situacích.","Ihre geschickten Hände sind in der Lage, Blutungen schnell und effektiv zu stoppen. Die Wundverbandung dauert weniger Zeit, was Ihre Überlebenschancen in kritischen Situationen erhöht.","Ваши ловкие руки умеют быстро и эффективно останавливать кровотечение. Перевязка ран занимает меньше времени, что повышает ваши шансы на выживание в критических ситуациях.","Twoje zręczne dłonie wiedzą, jak szybko i skutecznie zatamować krwawienie. Opatrywanie ran zajmuje mniej czasu, zwiększając szanse na przeżycie w krytycznych sytuacjach.","Az ügyes kezek képesek gyorsan és hatékonyan megállítani a vérzést. A sebkötés kevesebb időt vesz igénybe, ami növeli a túlélési esélyeket kritikus helyzetekben.","Le tue mani abili sono in grado di fermare l'emorragia in modo rapido ed efficace. La medicazione delle ferite richiede meno tempo, il che aumenta le possibilità di sopravvivenza in situazioni critiche.","Sus manos ágiles son capaces de detener el sangrado de manera rápida y efectiva. La ligadura de heridas lleva menos tiempo, lo que aumenta sus posibilidades de sobrevivir en situaciones críticas.","Vos mains habiles sont capables d'arrêter les saignements rapidement et efficacement. Le bandage des plaies prend moins de temps, ce qui augmente vos chances de survie dans les situations critiques.","你靈巧的雙手能夠快速有效地止血。傷口包紮所需的時間較短，這增加了您在危急情況下生存的機會。","あなたの器用な手は、迅速かつ効果的に出血を止めることができます。 創傷包帯は、重大な状況での生存のあなたのチャンスを増加させる、より少ない時間がかかります。","Suas mãos ágeis são capazes de parar o sangramento de forma rápida e eficaz. O curativo leva menos tempo, o que aumenta suas chances de sobrevivência em situações críticas.","您灵巧的双手能够快速有效地止血。 伤口敷料需要更少的时间，这增加了你在危急情况下生存的机会。",
"STR_TERJEPERK_MED_SURGEON","Surgeon","Surgeon","Chirurg","Der Chirurg","Хирург","Chirurg","Sebész","Chirurgo","Cirujano","Chirurgien","外科醫生","外科医","Cirurgião","外科医生",
"STR_TERJEPERK_MED_SURGEON_DES","Your precise and confident movements allow you to perform operations at maximum speed. Surgical procedures take less time.","Your precise and confident movements allow you to perform operations at maximum speed. Surgical procedures take less time.","Vaše přesné a sebevědomé pohyby vám umožňují provádět operace maximální rychlostí. Chirurgické zákroky trvají méně času.","Ihre präzisen und sicheren Bewegungen ermöglichen es Ihnen, Operationen mit maximaler Geschwindigkeit durchzuführen. Chirurgische Eingriffe nehmen weniger Zeit in Anspruch.","Ваши точные и уверенные движения позволяют вам проводить операции с максимальной скоростью. Хирургические процедуры занимают меньше времени.","Precyzyjne i pewne ruchy pozwalają na wykonywanie operacji z maksymalną prędkością. Zabiegi chirurgiczne zajmują mniej czasu.","Pontos és magabiztos mozgása lehetővé teszi, hogy maximális sebességgel végezzen műveleteket. A műtéti eljárások kevesebb időt vesznek igénybe.","I tuoi movimenti precisi e sicuri ti consentono di eseguire operazioni alla massima velocità. Le procedure chirurgiche richiedono meno tempo.","Sus movimientos precisos y seguros le permiten realizar operaciones a la máxima velocidad. Los procedimientos quirúrgicos toman menos tiempo.","Vos mouvements précis et assurés vous permettent d'effectuer des opérations à la vitesse maximale. Les procédures chirurgicales prennent moins de temps.","您精準而自信的動作使您能夠以最快的速度執行操作。手術過程耗時較少。","あなたの精密で、確信した動きは操作を最高速度で行うことを可能にする。 外科的処置には時間がかかりません。","Seus movimentos precisos e confiantes permitem que você realize operações com velocidade máxima. Os procedimentos cirúrgicos demoram menos tempo.","您精确而自信的动作使您能够以最快的速度执行操作。 外科手术花费更少的时间。",
"STR_TERJEPERK_MED_IMMUNOMODULATOR","Immunomodulator","Immunomodulator","Imunomodulátor","Immunmodulator","Иммуномодулятор","Immunomodulator","Immunmodulátor","Immunomodulatore","Inmunomodulador","Immunomodulateur","免疫調節劑","免疫調節剤","Imunomodulador","免疫调节剂",
"STR_TERJEPERK_MED_IMMUNOMODULATOR_DES","Your body adapts perfectly to vaccination, prolonging its effect. Vaccines remain effective for longer, providing longer-lasting protection against infections.","Your body adapts perfectly to vaccination, prolonging its effect. Vaccines remain effective for longer, providing longer-lasting protection against infections.","Vaše tělo se dokonale přizpůsobí očkování a prodlouží jeho účinek. Vakcíny zůstávají účinné déle a poskytují delší ochranu před infekcemi.","Ihr Körper passt sich perfekt an die Impfung an und verlängert ihre Wirkung. Impfstoffe bleiben länger wirksam und bieten einen längeren Schutz vor Infektionen.","Ваш организм отлично адаптируется к вакцинации, продлевая её действие. Вакцины остаются эффективными дольше, обеспечивая более продолжительную защиту от инфекций.","Organizm dobrze przystosowuje się do szczepionki, przedłużając jej działanie. Szczepionki pozostają skuteczne dłużej, zapewniając dłuższą ochronę przed infekcjami.","A szervezet tökéletesen alkalmazkodik a vakcinázáshoz, meghosszabbítva annak hatását. A vakcinák hosszabb ideig hatékonyak maradnak, hosszabb ideig tartó védelmet nyújtanak a fertőzések ellen.","Il tuo corpo si adatta perfettamente alla vaccinazione, prolungandone l'effetto. I vaccini rimangono efficaci più a lungo, fornendo una protezione più duratura contro le infezioni.","Su cuerpo se adapta perfectamente a la vacunación, prolongando su efecto. Las vacunas siguen siendo efectivas por más tiempo, proporcionando una protección más duradera contra las infecciones.","Votre corps s'adapte parfaitement à la vaccination, prolongeant son effet. Les vaccins restent efficaces plus longtemps, offrant une protection durable contre les infections.","您的身體可以完全適應疫苗接種，從而延長其效果。疫苗的有效期更長，能夠提供更持久的感染預防保護。","あなたの体は予防接種に完全に適応し、その効果を延長します。 ワクチンは、感染症に対する長期的な保護を提供し、より長いために有効なままです。","Seu corpo se adapta perfeitamente à vacinação, prolongando sua ação. As vacinas permanecem eficazes por mais tempo, proporcionando proteção mais duradoura contra infecções.","你的身体完全适应疫苗接种，延长其效果。 疫苗有效的时间更长，提供更持久的预防感染的保护。",
"STR_TERJEPERK_MED_ANESTHESIOLOGIST","Anesthesiologist","Anesthesiologist","Anesteziolog","Anästhesist","Анестезиолог","Anestezjolog","Aneszteziológus","Anestesista","Anestesista","Anesthésiste","麻醉醫師","麻酔科医","Anestesista","麻醉师",
"STR_TERJEPERK_MED_ANESTHESIOLOGIST_DES","Your skills in using anesthetics are impeccable. Each pain medication provides an additional level of pain relief.","Your skills in using anesthetics are impeccable. Each pain medication provides an additional level of pain relief.","Vaše dovednosti v používání anestetik jsou bezchybné. Každý lék proti bolesti poskytuje další úroveň úlevy od bolesti.","Ihre Fähigkeiten bei der Verwendung von Betäubungsmitteln sind einwandfrei. Jedes Schmerzmittel bietet ein zusätzliches Maß an Schmerzlinderung.","Ваши навыки в использовании анестетиков безупречны. Каждый обезболивающий препарат обеспечивает дополнительный уровень обезболивания.","Twoje umiejętności w zakresie stosowania środków znieczulających są nienaganne. Każdy lek znieczulający zapewnia dodatkowy poziom ulgi w bólu.","Az anesztetikumok használata kifogástalan. Minden fájdalomcsillapító gyógyszer további fájdalomcsillapítást biztosít.","Le tue abilità nell'uso degli anestetici sono impeccabili. Ogni farmaco antidolorifico fornisce un ulteriore livello di sollievo dal dolore.","Sus habilidades en el uso de anestésicos son impecables. Cada medicamento para el dolor proporciona un nivel adicional de alivio del dolor.","Vos compétences dans l'utilisation des anesthésiques sont impeccables. Chaque médicament antidouleur fournit un niveau supplémentaire de soulagement de la douleur.","您使用麻醉劑的技術無可挑剔。每種止痛藥都能提供額外程度的疼痛緩解。","麻酔薬を使用する際のあなたのスキルは申し分のないものです。 各鎮痛剤は、追加のレベルの痛みの軽減を提供します。","Suas habilidades no uso de anestésicos são impecáveis. Cada medicamento analgésico fornece um nível adicional de alívio da dor.","你使用麻醉剂的技巧是无可挑剔的. 每种止痛药都能提供额外的止痛效果.",
"STR_TERJESKILL_MED_NAME","MEDICINE","MEDICINE","LÉK","MEDIZIN","МЕДИЦИНА","MEDYCYNA","GYÓGYSZER","MEDICINALE","MEDICAMENTO","MÉDECINE","藥物","薬","Medicina","药品",
"STR_TERJEMED_VAXICAM","Vaxicam","Vaxicam","Vaxikam","Vaxicam","Ваксикам","Vaxicam","Vaxicam","Vaxicam","Vaxicam","Vaxicam","Vaxicam","Vaxicam（ヴァクシカム）","Vaxicam","伐昔康",
"STR_TERJEMED_ZERIVAX","Zerivax","Zerivax","Zerivax","Zerivax","Зеривакс","Zerivax","Zerivax","Zerivax","Zerivax","Zerivax","Zerivax","ゼリバックス","Zerivax","泽里瓦克斯",
"STR_TERJEPERK_IMMTY_THICKBLOOD","Thick Blood","Thick Blood","Hustá krev","Dickes Blut","Густая кровь","Gęsta krew","Vastag vér","Sangue denso","Sangre espesa","Sang Épais","濃血","厚い血","Sangue espesso","厚厚的血",
"STR_TERJEPERK_IMMTY_THICKBLOOD_DES","Due to the increased viscosity of the blood, blood loss occurs more slowly, which gives you more time to stabilize your condition and apply medical care.","Due to the increased viscosity of the blood, blood loss occurs more slowly, which gives you more time to stabilize your condition and apply medical care.","Díky zvýšené viskozitě krve dochází k ztrátě krve pomaleji, což vám dává více času na stabilizaci stavu a použití lékařské péče.","Aufgrund der erhöhten Viskosität des Blutes treten Blutverluste langsamer auf, was Ihnen mehr Zeit gibt, den Zustand zu stabilisieren und medizinische Versorgung zu beantragen.","Благодаря повышенной вязкости крови, кровопотери происходят медленнее, что дает вам больше времени для стабилизации состояния и применения медицинской помощи.","Ze względu na zwiększoną lepkość krwi, utrata krwi jest wolniejsza, co daje więcej czasu na ustabilizowanie stanu i udzielenie pomocy medycznej.","A vér megnövekedett viszkozitása miatt a vérveszteség lassabban fordul elő, ami több időt biztosít az állapotának stabilizálására és az orvosi ellátás alkalmazására.","A causa dell'aumento della viscosità del sangue, la perdita di sangue si verifica più lentamente, il che ti dà più tempo per stabilizzare la condizione e applicare le cure mediche.","Debido a la mayor viscosidad de la sangre, la pérdida de sangre ocurre más lentamente, lo que le da más tiempo para estabilizar la condición y aplicar atención médica.","En raison de la viscosité accrue du sang, la perte de sang se produit plus lentement, ce qui vous donne plus de temps pour stabiliser votre état et appliquer des soins médicaux.","由於血液粘稠度的增加，失血速度變慢，這讓你有更多時間穩定情況並進行醫療處置。","血液の粘度が上昇するため、失血はよりゆっくりと起こり、状態を安定させ、医療を適用する時間が長くなります。","Devido ao aumento da viscosidade do sangue, a perda de sangue ocorre mais lentamente, o que lhe dá mais tempo para estabilizar a condição e aplicar cuidados médicos.","由于血液的粘度增加，失血发生得更慢，这使您有更多的时间来稳定病情并应用医疗护理。",
"STR_TERJEMED_EFFECT_OVERDOSE","OVERDOSE","OVERDOSE","PŘEDÁVKOVÁNÍ","ÜBERDOSIERUNG","ПЕРЕДОЗИРОВКА","PRZEDAWKOWANIE","Túladagolás","OVERDOSE","SOBREDOSIS","SURDOSAGE","藥物過量","過剰摂取","OVERDOSE","过量服用",
"STR_TERJEMED_EFFECT_BIOHAZARD","NERVE AGENT POISON","NERVE AGENT POISON","NERVOVĚ PARALYTICKÝ JED","NERVENGIFT","НЕРВНО-ПАРАЛИТИЧЕСКИЙ ЯД","TRUCIZNA NERWOWA","IDEGMÉREG MÉREG","VELENO NERVINO","VENENO NEUROTÓXICO","EMPOISONNEMENT PAR AGENT NERVEUX","神經毒劑","神経剤毒","VENENO NERVOSO","神经毒剂毒药",
"STR_TERJEMED_EFFECT_PAINKILLER","PAINKILLER","PAINKILLER","LÉK PROTI BOLESTI","SCHMERZMITTEL","БОЛЕУТОЛЯЮЩЕЕ","ŚRODEK PRZECIWBÓLOWY","FÁJDALOMCSILLAPÍTÓ","ANTIDOLORIFICO","ANALGÉSICO","ANTALGIQUE","止痛藥","鎮痛剤","NÍVEIS DE ALÍVIO DA DOR","止痛药",
"STR_TERJEMED_EFFECT_ANTIPOISON","FOOD POISONING TREATMENT LEVEL","FOOD POISONING TREATMENT LEVEL","LÉČBA OTRAVY JÍDLEM ÚROVEŇ","BEHANDLUNG VON LEBENSMITTELVERGIFTUNGEN EBENE","ЛЕЧЕНИЕ ПИЩЕВОГО ОТРАВЛЕНИЯ УРОВЕНЬ","LECZENIE ZATRUĆ POKARMOWYCH","ÉTELMÉRGEZÉS KEZELÉSI SZINT","TRATTAMENTO LIVELLO DI INTOSSICAZIONE ALIMENTARE","TRATAMIENTO DE INTOXICACIÓN ALIMENTARIA NIVEL","TRAITEMENT DE L'INTOXICATION ALIMENTAIRE NIVEAU","食物中毒治療級別","食中毒治療レベル","NÍVEL DE TRATAMENTO DE INTOXICAÇÃO ALIMENTAR","食物中毒治療級別",
"STR_TERJEMED_EFFECT_ANTIBIOHAZARD","BIO HAZARD POISONING TREATMENT LEVEL","BIO HAZARD POISONING TREATMENT LEVEL","LÉČBA OTRAVY TOXINY","BEHANDLUNG VON TOXINVERGIFTUNGEN EBENE","ЛЕЧЕНИЕ ОТРАВЛЕНИЯ ТОКСИНАМИ УРОВЕНЬ","LECZENIE ZATRUĆ TOKSYCZNYCH","MÉRGEZÉS KEZELÉSE TOXINOK SZINTJÉN","TRATTAMENTO DELL'AVVELENAMENTO DA TOSSINE LIVELLO","TRATAMIENTO DE ENVENENAMIENTO POR TOXINAS NIVEL","TRAITEMENT DE L'EMPOISONNEMENT BIOLOGIQUE NIVEAU","生物危害中毒治療級別","毒素レベルによる中毒の治療","TRATAMENTO DE ENVENENAMENTO POR TOXINAS NÍVEL","通过毒素水平治疗中毒",
"STR_TERJEMED_EFFECT_ANTIBIOTIC","ANTIBIOTIC LEVEL","ANTIBIOTIC LEVEL","ANTIBIOTICKÁ HLADINA","ANTIBIOTIKUM-NIVEAU","АНТИБИОТИК УРОВЕНЬ","POZIOM ANTYBIOTYKU","ANTIBIOTIKUM SZINT","LIVELLO ANTIBIOTICO","NIVEL ANTIBIÓTICO","ANTIBIOTIQUE NIVEAU","抗生素級別","抗生物質レベル","NÍVEL ANTIBIÓTICO","抗生素水平",
"STR_TERJEMED_EFFECT_ZANTIDOT","ZOMBIE VIRUS ANTIDOTE","ZOMBIE VIRUS ANTIDOTE","PROTIJED VIRU ZOMBIE","GEGENMITTEL GEGEN ZOMBIE-VIRUS","ПРОТИВОЯДИЕ ОТ ЗОМБИ-ВИРУСА","ANTIDOTUM NA WIRUSA ZOMBIE","A ZOMBI VÍRUS ELLENSZERE","ANTIDOTO DEL VIRUS ZOMBIE","ANTÍDOTO DEL VIRUS ZOMBIE","ANTIDOTE AU VIRUS ZOMBIE","殭屍病毒解藥","ゾンビウイルスの解毒剤","ANTÍDOTO DO VÍRUS ZOMBIE","僵尸病毒的解毒剂",
"STR_TERJEMED_EFFECT_ANTISEPSIS","SEPSIS TREATMENT","SEPSIS TREATMENT","LÉČBA SEPSE","BEHANDLUNG VON SEPSIS","ЛЕЧЕНИЕ СЕПСИСА","LECZENIE SEPSY","SZEPSZIS KEZELÉS","TRATTAMENTO DELLA SEPSI","TRATAMIENTO DE LA SEPSIS","TRAITEMENT DE LA SEPTICÉMIE","敗血症治療","敗血症治療","TRATAMENTO DE SEPSE","败血症治疗",
"STR_TERJEMED_EFFECT_CONTUSIONCURE","CONCUSSION TREATMENT","CONCUSSION TREATMENT","LÉČBA KONTUZE","BEHANDLUNG VON PRELLUNGEN","ЛЕЧЕНИЕ КОНТУЗИИ","LECZENIE WSTRZĄSU MÓZGU","AGYRÁZKÓDÁS KEZELÉSE","TRATTAMENTO DI CONTUSIONE","TRATAMIENTO DE LA CONTUSIÓN","TRAITEMENT DE LA COMMOTION CÉRÉBRALE","腦震蕩治療","脳震盪治療","TRATAMENTO DE CONCUSSÃO","脑震荡治疗",
"STR_TERJEMED_EFFECT_HEMOSTATIC","HEMOSTATIC EFFECT","HEMOSTATIC EFFECT","HEMOSTATICKÝ EFEKT","HÄMOSTATISCHER EFFEKT","ГЕМОСТАТИЧЕСКИЙ ЭФФЕКТ","EFEKT HEMOSTATYCZNY","HEMOSZTATIKUS HATÁS","EFFETTO EMOSTATICO","EFECTO HEMOSTÁTICO","EFFET HÉMOSTATIQUE","止血效果","止血効果","EFEITO HEMOSTÁTICO","止血效果",
"STR_TERJEMED_EFFECT_BLOODREGEN","BLOOD REGENERATION","BLOOD REGENERATION","REGENERACE KRVE","BLUTREGENERATION","РЕГЕНЕРАЦИЯ КРОВИ","REGENERACJA KRWI","VÉRREGENERÁCIÓ","RIGENERAZIONE DEL SANGUE","REGENERACIÓN DE LA SANGRE","RÉGÉNÉRATION DU SANG","血液再生","血液再生","REGENERAÇÃO DO SANGUE","血液再生",
"STR_TERJEMED_EFFECT_HEMATOMA","BRUISES TREATMENT","BRUISES TREATMENT","LÉČBA MODŘIN","BEHANDLUNG VON PRELLUNGEN","ЛЕЧЕНИЕ УШИБОВ","LECZENIE SINIAKÓW","ZÚZÓDÁSOK KEZELÉSE","TRATTAMENTO DELLE CONTUSIONI","TRATAMIENTO DE MORETONES","TRAITEMENT DES ECCHYMOSES","治療瘀傷","あざの治療","TRATAMENTO DE CONTUSÕES","治疗瘀伤",
"STR_TERJEMED_EFFECT_ADRENALIN","ADRENALINE","ADRENALINE","ADRENALIN","ADRENALIN","АДРЕНАЛИН","ADRENALINA","Adrenalin","ADRENALINA","ADRENALINA","ADRÉNALINE","腎上腺素","アドレナリン","ADRENALINA","肾上腺素",
"STR_TERJEMED_EFFECT_ANTIDEPRESANT","ANTIDEPRESSANT LEVEL","ANTIDEPRESSANT LEVEL","ANTIDEPRESIVUM ÚROVEŇ","ANTIDEPRESSIVUM EBENE","АНТИДЕПРЕССАНТ УРОВЕНЬ","POZIOM ANTYDEPRESYJNY","ANTIDEPRESSZÁNS SZINT","LIVELLO ANTIDEPRESSIVO","NIVEL ANTIDEPRESIVO","ANTIDÉPRESSEUR NIVEAU","抗憂鬱藥物級別","抗うつ薬レベル","NÍVEL ANTIDEPRESSIVO","抗抑郁水平",
"STR_TERJEMED_EFFECT_INFVACINE","FLU VACCINE","FLU VACCINE","VAKCÍNA PROTI CHŘIPCE","GRIPPEIMPFSTOFF","ВАКЦИНА ОТ ГРИППА","SZCZEPIONKA PRZECIW GRYPIE","AZ INFLUENZA ELLENI VAKCINA","VACCINO ANTINFLUENZALE","VACUNA CONTRA LA GRIPE","VACCIN CONTRE LA GRIPPE","流感疫苗","インフルエンザワクチン","VACINA CONTRA A GRIPE","流感疫苗",
"STR_TERJEMED_EFFECT_ZEDVACINE","ZOMBIE VIRUS VACCINE","ZOMBIE VIRUS VACCINE","VAKCÍNA PROTI VIRU ZOMBIE","ZOMBIE-VIRUS-IMPFSTOFF","ВАКЦИНА ПРОТИВ ЗОМБИ-ВИРУСА","SZCZEPIONKA PRZECIWKO WIRUSOWI ZOMBIE","ZOMBI VÍRUS VAKCINA","VACCINO CONTRO IL VIRUS ZOMBIE","VACUNA CONTRA EL VIRUS ZOMBIE","VACCIN CONTRE LE VIRUS ZOMBIE","殭屍病毒疫苗","ゾンビウイルスワクチン","VACINA CONTRA O VÍRUS ZOMBIE","僵尸病毒疫苗",
"STR_TERJEMED_RABIVAX","Rabivax","Rabivax","Rabivax","Rabivax","Рабивакс","Rabivax","Rabivax","Rabivax","Rabivax","Rabivax","Rabivax","ラビバックス","Rabivax","[医]狂犬病",
"STR_TERJEMED_RABINOLINE","Rabinoline","Rabinoline","Rabinolin","Rabinoline","Рабинолин","Rabinolina","Rabinolin","Rabinolina","Rabinolina","Rabinoline","Rabinoline","ラビノリン","Rabinolina","拉宾诺林",
"STR_TERJEMED_EFFECT_RABIESCURE","RABIES TREATMENT","RABIES TREATMENT","LÉČBA VZTEKLINY","TOLLWUTBEHANDLUNG","ЛЕЧЕНИЕ БЕШЕНСТВА","LECZENIE WŚCIEKLIZNY","VESZETTSÉG KEZELÉS","TRATTAMENTO DELLA RABBIA","TRATAMIENTO DE LA RABIA","TRAITEMENT DE LA RAGE","狂犬病治療","狂犬病治療","TRATAMENTO DA RAIVA","狂犬病治疗",
"STR_TERJEMED_EFFECT_RABIESVACCINE","RABIES VACCINE","RABIES VACCINE","VAKCÍNA PROTI VZTEKLINĚ","TOLLWUT-IMPFSTOFF","ВАКЦИНА ОТ БЕШЕНСТВА","SZCZEPIONKA PRZECIW WŚCIEKLIŹNIE","VESZETTSÉG ELLENI VAKCINA","VACCINO CONTRO LA RABBIA","VACUNA CONTRA LA RABIA","VACCIN CONTRE LA RAGE","狂犬病疫苗","狂犬病ワクチン","VACINA CONTRA A RAIVA","狂犬病疫苗",
"STR_TERJEPERK_IMMTY_RABIESRESIST","Rabies Resistance","Rabies Resistance","Odpor proti vzteklině","Widerstand gegen Tollwut","Сопротивление бешенству","Odporność na wściekliznę","Veszettséggel Szembeni Ellenállás","Resistenza alla rabbia","Resistencia a la rabia","Résistance à la Rage","狂犬病抗性","狂犬病抵抗性","Resistência à raiva","狂犬病抗性",
